HS92,S3
010111,00151
010119,00151
010120,00152
010210,00111
010290,00119
010310,00131
010391,00139
010392,00139
010410,00121
010420,00122
010511,00141
010519,00141
010591,00149
010599,00149
010600,0019
020110,01111
020120,01111
020130,01112
020210,01121
020220,01121
020230,01122
020311,01221
020312,01221
020319,01221
020321,01222
020322,01222
020329,01222
020410,01211
020421,01211
020422,01211
020423,01211
020430,01212
020441,01212
020442,01212
020443,01212
020450,01213
020500,0124
020610,01251
020621,01252
020622,01252
020629,01252
020630,01253
020641,01254
020649,01254
020680,01255
020690,01256
020710,01231
020721,01232
020722,01232
020723,01232
020731,01233
020739,01234
020741,01235
020742,01235
020743,01235
020750,01236
020810,01291
020820,01292
020890,01299
020900,41131
021011,01611
021012,01612
021019,01619
021020,01681
021090,01689
030110,03411
030191,03411
030192,03411
030193,03411
030199,03411
030211,03412
030212,03412
030219,03412
030221,03413
030222,03413
030223,03413
030229,03413
030231,03414
030232,03414
030233,03414
030239,03414
030240,03415
030250,03416
030261,03415
030262,03418
030263,03418
030264,03417
030265,03418
030266,03418
030269,03418
030270,03419
030310,03421
030321,03421
030322,03421
030329,03421
030331,03422
030332,03422
030333,03422
030339,03422
030341,03423
030342,03423
030343,03423
030349,03423
030350,03424
030360,03425
030371,03424
030372,03428
030373,03428
030374,03426
030375,03428
030376,03428
030377,03428
030378,03427
030379,03428
030380,03429
030410,03451
030420,0344
030490,03455
030510,0355
030520,0354
030530,03512
030541,0353
030542,0353
030549,0353
030551,03511
030559,03513
030561,03529
030562,03521
030563,03522
030569,03529
030611,03619
030612,03619
030613,03611
030614,03619
030619,03619
030621,0362
030622,0362
030623,0362
030624,0362
030629,0362
030710,03631
030721,03635
030729,03639
030731,03635
030739,03639
030741,03633
030749,03637
030751,03633
030759,03637
030760,01293
030791,03635
030799,03639
040110,02211
040120,02212
040130,02213
040210,02221
040221,02222
040229,02222
040291,02223
040299,02224
040310,02231
040390,02232
040410,02241
040490,02249
040500,0230
040610,02491
040620,0241
040630,0242
040640,0243
040690,02499
040700,0251
040811,02521
040819,02522
040891,02521
040899,02522
040900,0616
041000,09892
050100,29191
050210,29192
050290,29192
050300,26851
050400,29193
050510,29195
050590,29195
050610,29111
050690,29111
050710,29116
050790,29116
050800,29115
050900,29197
051000,29198
051110,29194
051191,29196
051199,29199
060110,29261
060120,29261
060210,29269
060220,29269
060230,29269
060240,29269
060291,29269
060299,29269
060310,29271
060390,29271
060410,29272
060491,29272
060499,29272
070110,0541
070190,0541
070200,0544
070310,05451
070320,05452
070390,05452
070410,05453
070420,05453
070490,05453
070511,05454
070519,05454
070521,05454
070529,05454
070610,05455
070690,05455
070700,05456
070810,05457
070820,05457
070890,05457
070910,05459
070920,05459
070930,05459
070940,05459
070951,05458
070952,05458
070960,05459
070970,05459
070990,05459
071010,05469
071021,05469
071022,05469
071029,05469
071030,05469
071040,05461
071080,05469
071090,05469
071110,0547
071120,0547
071130,0547
071140,0547
071190,0547
071210,05611
071220,05612
071230,05613
071290,05619
071310,05421
071320,05422
071331,05423
071332,05423
071333,05423
071339,05423
071340,05424
071350,05425
071390,05429
071410,05481
071420,05483
071490,05483
080110,05771
080120,05772
080130,05773
080211,05774
080212,05774
080221,05775
080222,05775
080231,05776
080232,05776
080240,05777
080250,05778
080290,05779
080300,0573
080410,05796
080420,0576
080430,05795
080440,05797
080450,05797
080510,05711
080520,05712
080530,05721
080540,05722
080590,05729
080610,05751
080620,05752
080710,05791
080720,05791
080810,0574
080820,05792
080910,05793
080920,05793
080930,05793
080940,05793
081010,05794
081020,05794
081030,05794
081040,05794
081090,05798
081110,05831
081120,05832
